Account Number,Company,City,Current Turnover,Projected Turnover,Prev Projected Turnover,Prev Turnover,Payment Capture Sales - Penbev,Payment Capture Sales - Clover,Payment Capture Sales - CCBSA,Payment Capture Sales - BATSA,Payment Capture Sales - SAB,Payment Capture Sales - Blue Ribbon
,,,,,,,,,,,,
8000211653,Food Store Cash and Carry / Mfulenii,Cape Town,63474.78,196771.82,78937.91,78937.91,47307,0,0,0,0,0
8000455300,Rahma Cash and Carry,Cape Town,7329.21,22720.55,76828.13,76828.13,0,0,0,0,0,0
8000535911,Woza Cash & Carry,Cape Town,10550,32705,94277.57,94277.57,0,0,0,0,0,0
8000657933,Mfuleni Cash & Carry,Cape Town,4940.86,15316.67,15126.3,15126.3,0,0,0,0,0,0
8000674048,Cowsey Coffee Shop,CAPE TOWN,11400.93,35342.88,47851.46,47851.46,0,1690,0,855,0,0
8014089998,Blue Downa Cash and Carry,Cape Town,1020,3162,16380.13,16380.13,0,0,0,0,0,0
8022130389,Osoble Cash and Carry,Wellington,4285026.13,13283581,8236813.45,8236813.45,2935,0,0,0,0,0
8029404044,BLUE SKY WHOLESALE,Kalahari District Council,0,0,0,0,0,0,0,0,0,0
8039738284,M. M xassan cash carry ,Cape Town,0,0,0,0,0,0,0,0,0,0
8049142809,Mega Chicken,Cape Town,0,0,38060,38060,0,0,0,0,0,0
8067111979,Cabbe Viva Wholesale,Vredenberg,0,0,6401,6401,0,0,0,0,0,0
8090813246,Kraaifontein Cash and Carry,Kraaifontein,0,0,5039.17,5039.17,0,0,0,0,0,0
9064211444,Barwaqo Cash & Carry,Cape Town,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
